subcategory_name,character_name,vote_count,mbti,eneagrama,grupo
Asadora!,Asa Asada,13,ENFJ, 3w4,Diplomatico
Hoshi no Kirby,Kirby,13,ISFP, 9w8,Explorador
Karin: Chibi Vampire,Elda Maaka,13,ENTP, 8w7,Analista
Sailor Moon Crystal (2014),Helios (Pegasus),13,INFJ, 1w9,Diplomatico
Yu-Gi-Oh! Duel Monsters,Miho Nosaka,13,ESFP, 7w8,Explorador
Mousou Dairinin,Shōgo Ushiyama,13,ESFJ, 2w1,Sentinela
Mousou Dairinin,Zebra,13,ISFJ, 9w1,Sentinela
Megalo Box,Mikio Shirato,13,ENTP, 3w4,Analista
Akame ga Kill!,Champ,13,ESFP, 7w8,Explorador
Lapis Re:LiGHTs,Emilia,13,INTJ, 5w6,Analista
Mousou Dairinin,Harumi Chono,13,ISTJ, 6w5,Sentinela
Akame ga Kill!,Dorothea,13,INTP, 4w5,Analista
Tsurezure Children,Tomomichi Motoyama,13,INTP, 6w7,Analista
Akame ga Kill!,Gozuki,13,ENTP, 8w7,Analista
Katanagatari,Pengin Maniwa,13,INFJ, 6w5,Diplomatico
Tsurezure Children,Patricia Caulfield,13,ESFJ, 7w8,Sentinela
Yu-Gi-Oh! Duel Monsters,Red-Eyes Black Dragon,13,ESTJ, 8w7,Sentinela
Ao no Orchestra,Ritsuko Akine,13,ESFP, 2w3,Explorador
Mewtwo no Tanjō,Mewtwo,13,INTJ, 6w5,Analista
Hellsing Ultimate,Yumiko Takagi (Yumie),13,ESFP, 2w3,Explorador
Megalo Box,Yukiko Shirato,13,INTJ, 5w6,Analista
Princess Tutu,Lilie,13,ESFJ, 2w3,Sentinela
Seitokai Yakuindomo,Hata Ranko,13,INTP, 5w4,Analista
Hellsing Ultimate,Tubalcain Alhambra,13,ENTP, 7w8,Analista
Yu-Gi-Oh! Duel Monsters,Change of Hearts,13,INFJ, 6w5,Diplomatico
Tsurezure Children,Kazuko Hosokawa,13,ESFJ, 3w2,Sentinela
Tsurezure Children,Hideki Yukawa,13,INTJ, 8w9,Analista
Mahou Shoujo Madoka★Magica,Candeloro,13,ESFJ, 9w8,Sentinela
All Out!!,Adachigahara Shouta,13,ENFP, XwX,Diplomatico
All Out!!,Kamo Raita,13,ENTP, 7w6,Analista
Lapis Re:LiGHTs,Lucifer,13,ENTP, 5w6,Analista
All Out!!,Hirota Eiichi,13,ESFP, 8w7,Explorador
Black Lagoon,Fang Yifei,13,ENTP, 7w6,Analista
Vanitas no Carte,Plague Doctor,13,INTP, XwX,Analista
Yofukashi no Uta,Lira Echigo,13,ENFJ, 2w3,Diplomatico
Yoake Tsugeru Lu no Uta,Yuho,13,ESFP, 4w3,Explorador
Akame ga Kill!,Me,13,ENTP, 8w7,Analista
Rental Onii-chan,Kanami Tachibana,13,INFP, XwX,Diplomatico
All Out!!,Goshozome Yoichi,13,ESFJ, 3w2,Sentinela
Akiba Maid Sensou (Akiba Maid War),Shiipon,13,ISTP, XwX,Explorador
Hokuto no Ken,Fudou,13,ESTP, 2w3,Explorador
Akame ga Kill!,Ieyasu,13,ENFP, 8w9,Diplomatico
Shirobako,Yano Erika,13,ESTJ, 1w9,Sentinela
Suponjibobu,Mr. Krabs,13,ESTJ, 6w5,Sentinela
Concrete Revolutio: Choujin Gensou,Jirou Hitoyoshi,13,INTP, 1w9,Analista
BNA (Brand New Animal),Gem Horner,13,ISFJ, 1w9,Sentinela
Kuroko no Basket,Rakuzan High,13,ENTJ, 3w4,Analista
BNA (Brand New Animal),Giuliano Flip,13,ESTJ, 8w7,Sentinela
Satsuriku no Tenshi,Girl from Eddie's past,13,ENFP, 6w5,Diplomatico
Usotsuki Satsuki wa Shi ga Mieru,Mikami Kai,13,ENFJ, 1w2,Diplomatico
Kinou Nani Tabeta?,Shiro Kakei,13,ISTJ, 6w5,Sentinela
Ansatsu Kyoushitsu,Tomoya Seo,13,ISTP, 8w7,Explorador
Naruto Shippūden,Todoroki,13,ESTJ, 5w6,Sentinela
Naruto Shippūden,Tenma Izumo,13,ENTJ, 8w7,Analista
Naruto Shippūden,Yota,13,INFP, 9w1,Diplomatico
Yakitate!! Japan,Kyosuke Kawachi,13,ESFP, 6w7,Explorador
Naruto Shippūden,Natsuhi Ito,13,ISFJ, 2w3,Sentinela
Tokyo Ghoul,Itou Kuramoto,13,ENTP, 3w2,Analista
Juuni Taisen,"Takeyasu, Warrior of the Dragon",13,ESTP, 7w8,Explorador
Blood-C,Hiro Tsukiyama,13,INFP, 9w1,Diplomatico
Tsuki ga Kirei,Ryoko Sonoda,13,ISFJ, 6w7,Sentinela
Blood-C,Mana Hiiragi,13,INFP, 3w4,Diplomatico
Blood-C,Kanako Tsutsutori,13,ESFJ, 2w3,Sentinela
Unmei no Hito ni Deau Hanashi,Iori san,13,INFJ, 5w6,Diplomatico
Yurei Deco,Hack,13,ENTP, 7w8,Analista
Naruto Shippūden,"Gennō ""Trap Master""",13,INTJ, 5w6,Analista
Spy Kyoushitsu,Erna,13,INTP, 6w5,Analista
Vivy: Fluorite Eye's Song,Yui Kakitani,13,INFJ, 5w6,Diplomatico
Shin Seiki Evangelion Kōtetsu no Gārufurendo 2nd,Shinji Ikari,13,INFP, 6w5,Diplomatico
Vivy: Fluorite Eye's Song,Grace,13,ISFJ, 2w1,Sentinela
Usotsuki Satsuki wa Shi ga Mieru,Komako Komachi,13,INFJ, XwX,Diplomatico
Haikyuu!!,Hakuba Gao,13,ESFJ, 2w1,Sentinela
One Punch Man,"Marugori ""Beefcake""",13,ISTP, 8w9,Explorador
BIBLIOMANIA,Alice,13,INTJ, 5w6,Analista
Shiori Experience: Jimi na Watashi to Hen na Ojisan,Shiori Honda,13,ISFJ, 9w1,Sentinela
Boku no Hero Academia,Monika “Kaniko” Kaniyashiki,13,ENTP, 7w8,Analista
"Watashi, Nōryoku wa Heikinchi de tte Itta yo ne!",Kurihara Misato (Mile),13,INTP, 9w1,Analista
Dennou Coil,Daichi Sawaguchi,13,ESTP, 7w6,Explorador
Inazuma Eleven GO,Okita Souji,13,ISFP, 6w5,Explorador
Inazuma Eleven GO,Nishiki Ryouma,13,ESTP, 7w8,Explorador
Serial Experiments Lain,Cheshire Cat / Mouth,13,ENTP, 3w2,Analista
Bungou Stray Dogs Wan!,Lucy Maud Montgomery,13,ISFP, 4w3,Explorador
Saint Seiya,Sphynx Pharaoh,13,ESTP, 8w7,Explorador
Darker Than Black,November 11,13,ENTJ, 3w4,Analista
Tiger & Bunny,Thomas Taurus,13,INTJ, 6w5,Analista
Digimon Adventure,Puppetmon,13,ESFP, 7w8,Explorador
Veil,Emma,13,ISFJ, 3w2,Sentinela
Romeo no Aoi Sora (Romeo's Blue Skies),Luini,13,INTJ, 8w9,Analista
Kiniro Mosaic (Kinmoza),Inokuma Youko,13,ESTP, 7w8,Explorador
Kyousougiga,Koto (レディ古都),13,ESFP, 7w8,Explorador
Sankaku Mado no Sotogawa wa Yoru,Keita Mukae,13,ENFJ, 3w2,Diplomatico
Slam Dunk,Tooru Hanagata,13,ISTJ, 6w5,Sentinela
One Punch Man,Fuhrer Ugly,13,ESTP, 8w7,Explorador
Edens Zero,Witch,13,ISFJ, 2w1,Sentinela
Tiger & Bunny,Jake Martinez,13,ENTP, 7w8,Analista
Ikoku Meiro No Croisee,Camille Blanche,13,INFJ, 4w3,Diplomatico
King of Prism,Ichijo Shin,13,INFP, 9w1,Diplomatico
Chirin No Suzu,Chirin,13,ISFP, 3w4,Explorador
H2,Hiro Kunimi,13,ISTP, 8w9,Explorador
Terra Formars,Michelle K. Davis,13,ISTJ, 1w9,Sentinela
Dae Jang Geum: Jang Geum's Dream,Min Jeong Ho,13,INTJ, 6w5,Analista
Onani Master Kurosawa,Nagaoka Keiji,13,ESFJ, 7w6,Sentinela
Shinchou Yuusha: Kono Yuusha ga Ore Tsueee Kuse ni Shinchou Sugiru,Chaos Machina,13,ENTJ, 7w8,Analista
Hai to Gensou no Grimgar,Renji,13,ENTJ, 1w9,Analista
Zero kara Hajimeru Mahou no Sho,Mercenary,13,ISTJ, 1w2,Sentinela
Tsun-Ama na Kareshi,Tachibana,13,ESFJ, 9w1,Sentinela
Dragon Ball Z,Eternal Dragon,13,ENTJ, 8w9,Analista
Dragon Ball Z,Shallot,13,ESFP, 3w4,Explorador
Inazuma Eleven GO,Kurama Norihito,13,ISTP, 6w5,Explorador
Haikyuu!!,Kamomedai High,13,ISTJ, 3w2,Sentinela
Skip to Loafer,Makoto Kurume,13,INTP, 5w4,Analista
Inazuma Eleven GO,Seto Midori,13,ESTP, 8w7,Explorador
Araburu Kisetsu no Otome-domo yo (Araoto),Juujou Sonoe,13,ESFJ, 7w6,Sentinela
Bakuman,Nobuhiro Mashiro,13,INFJ, 1w2,Diplomatico
Rokudenashi Majutsu Koushi to Akashic Records (Rokuaka),Jatice Lowfan,13,ENTJ, 5w4,Analista
One Punch Man,Evil Natural Water,13,INFP, 8w9,Diplomatico
Madan no Ou to Vanadis,Tigrevurmud Vorn,13,INFJ, 9w1,Diplomatico
Dragon Ball Z,Kibito,13,ISTJ, 1w9,Sentinela
Blood Lad,Blood Tiffany Liz,13,ISFP, 4w5,Explorador
D-Frag!,Shawn Conecone,13,ENFJ, XwX,Diplomatico
Black Clover,Ryudo Ryuya,13,ENTP, 6w5,Analista
Crayon Shin-chan,Joma and Makao,13,ENTP, 7w8,Analista
Osomatsu-san,Dekapan,13,ESFJ, 2w3,Sentinela
Yugami-kun ni wa Tomodachi ga Inai,Watanuki Chihiro,13,ESFJ, 2w1,Sentinela
"Oshiete Kudasai, Fujishima-san!",Fujishima,13,ENTJ, 1w9,Analista
Miira no Kaikata,Conny,13,ESFP, 7w8,Explorador
Kaifuku Jutsushi no Yarinaoshi,Trist Organ (Hawkeye),13,ISTJ, 6w5,Sentinela
Little Witch Academia,Professor Nelson,13,ESTJ, 1w2,Sentinela
Bobobo-bo Bo-bobo,Softon,13,INFJ, 5w4,Diplomatico
Norn9,Kagami Itsuki,13,ESFP, 2w3,Explorador
Kishuku Gakkou no Juliet,Scott Fold,13,ESFJ, 6w5,Sentinela
Hanayamata,Sasame Yaya,13,ENTJ, 3w4,Analista
Un-Go,Inga,13,ENTP, 7w8,Analista
Kishuku Gakkou no Juliet,Aby Ssinia,13,ENTJ, 3w2,Analista
Usogui,Sadakuni Ikki,13,ENTJ, 8w9,Analista
Dear Vocalist,(2)You,13,ISFJ, 2w1,Sentinela
Dear Vocalist,A',13,ESFP, 7w6,Explorador
Orenchi no Furo Jijou,Kasumi,13,ENTJ, 3w4,Analista
Otoyomegatari,Pariya Togonosh,13,ISFP, 7w6,Explorador
Dear Vocalist,Judah,13,INTJ, 4w3,Analista
School Zone Girls,Rei Yokoe,13,ESFP, 7w8,Explorador
Black Clover,Dominante Code,13,ESTJ, 1w2,Sentinela
Koisuru Boukun,Taichirou Isogai,13,ENTP, 7w6,Analista
Im: The Great Priest Imhotep,Khonsou,13,INTJ, 3w2,Analista
Black Clover,Nebra Silva,13,ESTJ, 3w4,Sentinela
Strawberry Panic,Ohtori Amane,13,INTP, 9w1,Analista
Detrás del juego (Yandere Simulator),Taro Yamada,13,INFJ, 9w1,Diplomatico
Haibane Renmei,The Communicator,13,INFJ, 1w9,Diplomatico
Sengoku Basara,Takeda Shingen,13,ENFJ, 3w2,Diplomatico
Inazuma Eleven,Ootani Tsukushi,13,ESFP, 7w8,Explorador
Inazuma Eleven,Yuri Rodina,13,ENFP, 8w7,Diplomatico
Diamond no Ace,Watanabe Hisashi,13,INFP, 5w4,Diplomatico
Diamond no Ace,Yeung Shunshin,13,INTJ, 5w4,Analista
Shin Seiki Evangerion: Ikari Shinji Ikusei Keikaku,Yui Ikari,13,INFJ, 1w9,Diplomatico
Mirai Shounen Conan,Dyce,13,ESTP, 7w8,Explorador
Ojamajo Doremi,Nagato Kayoko,13,INTP, 5w4,Analista
X (1999),Yuuto Kigai,13,ENFJ, XwX,Diplomatico
X (1999),Satsuki Yatouji,13,INTP, 5w4,Analista
Darker Than Black,Xiao Jie,13,ENTJ, 8w7,Analista
Shoukoku no Altair,Johan Frentzen,13,ISTP, 6w5,Explorador
Taisou Zamurai,Tetsuo Minamino,13,ISTJ, 1w9,Sentinela
Sakamoto Days,"Uzuki ""Slur""",13,INTJ, 1w9,Analista
Tada-kun wa Koi wo Shinai (Tadakoi),Alexandra Magritte,13,ISTP, 5w6,Explorador
Inazuma Eleven,Umihara Norika,13,ESFJ, 2w1,Sentinela
Bokutachi no Remake,Keiko Tomioka,13,ENTP, 7w8,Analista
Shoukoku no Altair,Zehir Zaganos Pasha,13,INTJ, 3w4,Analista
Taiyou no Ie,Nakamura Daiki,13,INTJ, 5w4,Analista
Diamond no Ace,Mukai Taiyou,13,INTJ, 3w4,Analista
Yurikuma Arashi,Lulu Yurigasaki,13,ENFJ, 3w2,Diplomatico
Yuu Yuu Hakusho,Juri,13,ESFP, XwX,Explorador
Crayon Shin-chan,Siguraine Tokitsune,13,ENTJ, 3w4,Analista
Diamond no Ace,Yui Kaoru,13,ENFJ, 3w2,Diplomatico
All Out!!,Maroudo Kousuke,13,ENFP, 7w6,Diplomatico
Seto no Hanayome,Seto Sun,13,ISFJ, 2w3,Sentinela
Kamonohashi Ron no Kindan Suiri,winter moriarty,13,ISTP, 6w5,Explorador
Kengan Ashura/Kengan Omega,Nikaido Ren,13,INTJ, 6w5,Analista
Mermaid Melody Pichi Pichi Pitch,Nikora Nanami,13,ISTJ, 1w2,Sentinela
Kumichou Musume to Sewagakari,Touichirou Aoi,13,INFJ, XwX,Diplomatico
Blue Period,Inukai,13,ENTJ, 1w9,Analista
Clockwork Planet,RyuZU,13,ISTJ, 5w6,Sentinela
Bakugan,Shadow Prove,13,ENTP, 7w8,Analista
Deaimon,Mitsuru Horikawa,13,ESFJ, 9w1,Sentinela
Code Geass,Jean Rowe,13,ISFJ, 6w5,Sentinela
Mahou Shoujo Site,Izumigamine Mikari,13,ENFP, 7w6,Diplomatico
Koko wa Ima kara Rinri desu.,Ryouma Soga,13,ISTP, 5w4,Explorador
Boys Run The Riot,Itsuka Todo,13,INTP, 6w5,Analista
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Amane Fujimiya,13,INFP, XwX,Diplomatico
Aho Girl,Ryuuichi Kurosaki,13,ESTP, 6w7,Explorador
Beyblade Burst,Count Nightfell,13,ESFP, XwX,Explorador
Turn A Gundam,Kihel Heim,13,ENFJ, 1w9,Diplomatico
Yu-Gi-Oh! 5Ds,Rex Goodwin,13,INTJ, 1w9,Analista
7SEEDS,Chisa Taiami,13,INFJ, 2w1,Diplomatico
Mijuku na Futari de Gozaimasu ga,Saeki Ikuma,13,INFJ, XwX,Diplomatico
Princess Principal,Senior,13,ISTP, 9w8,Explorador
Brave Story,Wataru Mitani,13,ENFP, 9w1,Diplomatico
Ginga e Kickoff!!,Masaru Hanashima,13,ISTP, 6w5,Explorador
Deltora Quest,Doom,13,INTJ, 8w9,Analista
Tennis no Ouji-sama,Dan Taichi,13,INFP, 9w1,Diplomatico
Magi,Rurumu,13,ESFJ, 2w1,Sentinela
Kami nomi zo Shiru Sekai (Kaminomi),Tsukiyo Kujo,13,INTJ, 1w2,Analista
Chi no Wadachi,Shigeru,13,ESFP, 7w8,Explorador
Konjiki no Gash Bell!!,Zofis,13,ENTJ, 3w4,Analista
Chi no Wadachi,Ichiro Osabe,13,ISTJ, 9w1,Sentinela
Tennis no Ouji-sama,Rin Hirakoba,13,ISFP, 6w7,Explorador
Kaiji,Takeshi Furuhata,13,ISFJ, 6w7,Sentinela
Kaiji,Chang,13,ISTJ, 6w5,Sentinela
Tennis no Ouji-sama,Jin Akutsu,13,ISTP, 8w9,Explorador
Kiniro no Corda,Keiichi Shimizu,13,INTP, 5w6,Analista
Magi,Olba,13,ESFP, 7w8,Explorador
Chibi Maruko-chan,Shigeru Fujiki,13,INFP, 6w7,Diplomatico
Chibi Maruko-chan,Kotake Sakura,13,ISFJ, 9w1,Sentinela
Chibi Maruko-chan,Hiromi Maeda,13,ESTJ, 1w2,Sentinela
Code Geass,Ryo Sayama,13,ESTP, 8w7,Explorador
Ouran Koukou Host Club,Toru Suzushima,13,INFP, 9w1,Diplomatico
Shinai naru Boku e Satsui wo Komete,Yukimura Kyouka,13,ENFJ, 5w4,Diplomatico
Date A Live,Mayuri,13,INFJ, 3w2,Diplomatico
Date A Live,Kyouhei Kannazuki,13,ENFJ, 2w3,Diplomatico
Girls und Panzer,Orange Pekoe,13,ISFJ, 5w6,Sentinela
Innocent,Charlotte Corday,13,ENTJ, 1w2,Analista
"Kono Healer, Mendokusai",Alvin,13,ENTJ, 8w7,Analista
Ultramarine Magmell,Zero,13,ISFJ, 2w1,Sentinela
Akatsuki no Yona,Ao (Seiryuu),13,ISTP, 8w9,Explorador
"Yondemasu yo, Azazel-san.",Akutabe,13,ISTJ, 8w9,Sentinela
"Kumo desu ga, Nani ka?",Filimøs Harrifenas aka Okazaki Kanami,13,ENFP, 2w1,Diplomatico
QuanZhi GaoShou,Su Mucheng,13,ENFJ, 2w1,Diplomatico
Karakuri Circus,Katou Narumi,13,ESFJ, 8w9,Sentinela
National School Prince is a Girl,Fu Jiu,13,ENTP, 7w8,Analista
Hardcore Leveling Warrior,Dark,13,INTJ, 5w6,Analista
Saishuu Heiki Kanojo,Chise,13,INFP, 9w1,Diplomatico
Naka no Hito Genome (Jikkyouchuu),Sakura Oshigiri,13,INFP, 2w3,Diplomatico
Kemono Friends,Silver Fox,13,ISFJ, 5w4,Sentinela
Kakegurui,Ren Kochi,13,ENFP, 2w1,Diplomatico
Kakegurui,Kumagusu,13,ESTJ, 1w2,Sentinela
Kimi wa Natsu no Naka,Wataru Touda,13,ISFP, 4w5,Explorador
Gakkou no Kaidan,Satsuki Miyanoshita,13,ESTJ, 6w7,Sentinela
Mononoke Hime,Nago,13,ESTP, 8w7,Explorador
Shangri-La,Houjou Kuniko,13,ESFP, 7w6,Explorador
Drifters,The Black King,13,INTJ, 1w9,Analista
Shingeki no Kyojin,Wald,13,ESFP, 7w6,Explorador
Ningen Series,Iori Mutou,13,INTP, 7w6,Analista
Ao Ashi,Tachibana Souichirou,13,INFP, 9w8,Diplomatico
Utsuro no Hako to Zero no Maria (HakoMari),Daiya Oomine,13,ISTP, 5w4,Explorador
Ao Ashi,Aoi Noriko,13,ESTJ, 1w2,Sentinela
"Wake Up, Girls!",Kikuma Kaya,13,ESTP, 9w8,Explorador
Danshi Koukousei no Nichijou,Overly Self-conscious Girl,13,INTP, 6w5,Analista
Ouji-sama Nante Iranai,Nobara Himezaki,13,ISFP, 9w8,Explorador
Shingeki no Kyojin,Fritz (Puppet king),13,ESTP, 9w8,Explorador
Toumei Ningen no Hone,Aya Kinomiya,13,INFP, 6w5,Diplomatico
Aharen-san wa Hakarenai,Miyahira-sensei,13,ESFJ, 5w6,Sentinela
Hakuouki,Ryunosuke Ibuki,13,ISFP, 6w7,Explorador
Hakuouki,Kashitarou Itou,13,ENFJ, 3w2,Diplomatico
Shingeki no Kyojin,Murakumo,13,ISTP, 5w6,Explorador
Shingeki no Kyojin,The Garrison Regiment (Personified),13,ISFJ, 9w8,Sentinela
Heion Sedai no Idaten-tachi,Gil,13,ISFJ, 9w1,Sentinela
Dance in the Vampire Bund,Akira Kaburagi Regendorf,13,INFP, 4w5,Diplomatico
Heion Sedai no Idaten-tachi,Piscalat,13,ENTJ, 3w2,Analista
Les Misérables: Shoujo Cosette,Monsieur Thenardier,13,ESTP, 7w8,Explorador
Sugar*Soldier,Makoto Kisaragi,13,ISFP, 2w3,Explorador
FLCL,"Man ""Mossan"" Motoyama",13,ENFJ, 7w6,Diplomatico
Hanebado!,Nagisa Aragaki,13,ESFP, 3w4,Explorador
Sasayaku You ni Koi wo Utau,Miki Mizuguchi,13,INFJ, 9w1,Diplomatico
Hakushaku to Yousei,Edgar J. C. Ashenbert,13,ENTP, 3w2,Analista
Shingeki no Kyojin,Samuel,13,ESTP, 6w7,Explorador
Lodoss-tou Senki,Parn,13,ISFP, 6w7,Explorador
Nanbaka,Hitoshi Sugoroku,13,ESFJ, 2w3,Sentinela
Hanebado!,Kaoruko Serigaya,13,ENTJ, 3w4,Analista
Akatsuki no Yona,Hiyou,13,ESTJ, 8w7,Sentinela
One Piece,Cabaji,13,ISTP, 3w4,Explorador
Sasaki to Miyano,Miyano's mother,13,ISFJ, 1w9,Sentinela
Genjitsu Shugi Yuusha no Oukoku Saikenki,Maria Euphoria,13,ENFJ, 1w2,Diplomatico
Junjou Romantica,Shiba Mizuki,13,INTJ, 3w4,Analista
Odd Taxi,Shibagaki,13,ENTP, 9w8,Analista
Hirayasumi,Ikuta Hiroto,13,INTP, 9w1,Analista
Mahou Shoujo Ikusei Keikaku,Magical Daisy (Yakumo Kiku),13,ESFP, 7w6,Explorador
JoJo parts,Phantom Blood,13,ENFJ, 1w2,Diplomatico
Mahou Shoujo Ikusei Keikaku,Mana,13,ESTJ, 8w7,Sentinela
Inou-Battle wa Nichijou-kei no Naka de,Hatoko Kushikawa,13,ISFJ, 2w3,Sentinela
Hinomaruzumou,Ushio Hinomaru,13,ESFP, XwX,Explorador
Boruto - Naruto Next Generations,Lemon,13,INFP, 2w1,Diplomatico
Noragami,Amaterasu,13,INFJ, 1w9,Diplomatico
All Out!!,Kirishima Kokuto,13,ISTJ, 9w8,Sentinela
One Piece,Yasopp,13,ESTP, 7w8,Explorador
Bakugan,Naga,13,INTJ, 8w7,Analista
Princess Sara,Ralph Crewe,13,ENFJ, XwX,Diplomatico
Akagami no Shirayuki-hime,Hisame Lugis,13,ENTP, 5w6,Analista
Moon Chai Story,Yesen,13,ISTJ, 1w9,Sentinela
Chikyuugai Shounen Shoujo,Nasa Houston,13,ENFJ, 1w9,Diplomatico
Mahou Shoujo Ikusei Keikaku,Rionetta (Kujou Rio),13,ENTJ, 8w7,Analista
Samurai Champloo,Yatsuha,13,ESTP, 6w7,Explorador
Platinum End,Tonma Rodríguez,13,ESTP, 7w8,Explorador
Cutie Honey,Natsuko Aki (Re),13,ISTJ, 3w4,Sentinela
Genjitsu Shugi Yuusha no Oukoku Saikenki,Georg Carmine,13,ENTJ, 5w6,Analista
Banana Fish,Michael,13,ENFP, XwX,Diplomatico
Shiguang Daili Ren,Mysterious Culprit,13,ENTJ, 8w7,Analista
All Out!!,Kashima Kouichirou,13,ISFP, 9w8,Explorador
New Normal,Erika Hinata,13,ESFP, XwX,Explorador
JoJo Stands,『Osiris』,13,INTJ, 5w6,Analista
Lapis Re:LiGHTs,Angers,13,ESFP, 4w3,Explorador
JoJo Stands,『Horus』,13,INTJ, 8w9,Analista
JoJo Stands,『Khnum』,13,ESTP, 3w2,Explorador
Isekai wa Smartphone to Tomo ni,Yumina Urnea Belfast,13,ENFP, 4w5,Diplomatico
JoJo Stands,『Dragon's Dream』,13,INFJ, 3w4,Diplomatico
JoJo Stands,『High Priestess』,13,ISTJ, 7w8,Sentinela
All Out!!,Ikuta Miki,13,ESFP, 2w3,Explorador
All Out!!,Kasuga Hirokuni,13,INTJ, 8w9,Analista
JoJo Stands,『Survivor』,13,ESTJ, 7w8,Sentinela
Boruto - Naruto Next Generations,Ao,13,ESTJ, 1w9,Sentinela
Digimon Adventure: Last Evolution Kizuna,Yagami Taichi,13,ESTP, 7w6,Explorador
Boruto - Naruto Next Generations,Log,13,ISFJ, 1w9,Sentinela
Enen no Shouboutai,Asako Hague,13,ISFJ, 9w1,Sentinela
Boruto - Naruto Next Generations,Enko Onikuma,13,ENFP, 4w3,Diplomatico
One Piece,Oars,13,ESFP, 7w8,Explorador
Mashle: Magic and Muscles,Rayne Ames,13,ISTP, 5w6,Explorador
All Out!!,Atago Minato,13,INFJ, 9w1,Diplomatico
All Out!!,Hyousu Shinnosuke,13,ESFP, 7w6,Explorador
JoJo Stands,『Atom Heart Father』,13,ISTJ, 5w6,Sentinela
Mahou Shoujo Ikusei Keikaku,Pythie Frederica,13,INFJ, 1w2,Diplomatico
Mitsudomoe,Miyashita,13,ISTJ, 9w8,Sentinela
Yuragi-sou no Yuuna-san,Nonko Arahabaki,13,ESFP, 7w8,Explorador
Bakugan,Mylene Farrow,13,ESTJ, 9w8,Sentinela
The Daily Life of The Immortal King,Tuntian Ha,13,ESTJ, 8w7,Sentinela
Dragon Ball Z (Abridged),Super Kami Guru (TFS DBZ abridged),13,ENTJ, 8w7,Analista
Tsuiraku JK to Haijin Kyoushi,Udou Nazuna,13,INTP, XwX,Analista
Onegai My Melody,Yuka Kano,13,INFP, 2w3,Diplomatico
Magi,Myron Alexius,13,ESTP, 8w7,Explorador
Uma Musume: Pretty Derby,Tamamo Cross,13,ESFP, 6w7,Explorador
One Piece,Fullbody,13,ESTP, 3w2,Explorador
Kujira no Kora wa Sajou ni Utau,Aíma,13,ESTP, 7w8,Explorador
Aikatsu Planet!,Shiori Motoya,13,INFJ, 1w9,Diplomatico
Uma Musume: Pretty Derby,Fuji Kiseki,13,ENFJ, 3w2,Diplomatico
Choco Latte,Ethan Turner,13,INTP, 1w2,Analista
Konjiki no Gash Bell!!,Ted,13,ESTP, 8w7,Explorador
Bakugan,Billy Gilbert,13,ESTP, 7w8,Explorador
Choco Latte,Justin Brown,13,ESTP, 4w5,Explorador
One Piece,"Gloriosa ""Elder Nyon""",12,ENFJ, 9w1,Diplomatico
Kimetsu no Yaiba,Kyogo Shinazugawa,12,ESTP, 8w7,Explorador
Seiken Tsukai no World Break,Moroha Haimura,12,ENFJ, 4w3,Diplomatico
Magi,Sahbmad Saluja,12,INFP, 9w1,Diplomatico
Boku Girl,Mizuki Surushiro,12,INFP, 9w1,Diplomatico
Citrus,Taniguchi Mitsuko,12,ISTJ, 8w9,Sentinela
Shinmai Maou no Testament,Nonaka Kurumi,12,ISTJ, 6w5,Sentinela
J no Subete,Rita Bartheleme,12,ISFP, 9w8,Explorador
AKB0048,Kanata Shinonome,12,ESTJ, 1w2,Sentinela
Aku no Kyouten,Seiji Hasumi,12,ENTJ, 7w8,Analista
AKB0048,Sonata Shinonome,12,ENFP, 7w6,Diplomatico
Sengoku Basara,Toyotomi Hideyoshi,12,INFJ, 4w3,Diplomatico
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai (Anohana),Toko Yadomi,12,INFJ, 2w1,Diplomatico
Serial Experiments Lain,Karl Haushofer,12,ISTJ, 6w5,Sentinela
Detective Conan,Yamamura Misao,12,ESFP, 3w4,Explorador
Ryuu to Sobakasu no Hime,Kei's Father,12,ESTJ, 8w7,Sentinela
Sengoku Basara,Kasuga,12,ISFP, 9w1,Explorador
Beelzebub,Nene Omori,12,ESTP, 9w8,Explorador
Natsuyuki Rendezvous,Rokka Shimao,12,ISFP, 9w1,Explorador
JoJo no Kimyou na Bouken,Viviano Westwood,12,ESTJ, 8w7,Sentinela
Hunter X Hunter,Aura Synthesis,12,ENTJ, 8w7,Analista
Imawa no Kuni no Arisu,Yūji Mahiru,12,INFP, 5w4,Diplomatico
Kimetsu no Yaiba,Urogi,12,ESFJ, 7w6,Sentinela
Detective Conan,James Black,12,ENTJ, 5w6,Analista
Hanamaru Youchien,Anzu,12,ENFP, 7w8,Diplomatico
Gakuen Babysitters,Mamizuka Umi,12,ENFP, 2w3,Diplomatico
Touken Ranbu,Gokotai,12,INFP, XwX,Diplomatico
Taboo Tattoo,R. R. Lakha,12,ENTJ, 8w7,Analista
Mobile Suit Gundam Unicorn,Full-Frontal Zeon,12,ISTJ, XwX,Sentinela
Taboo Tattoo,Iltutmish,12,ENTJ, 8w7,Analista
Beelzebub,En,12,ESFP, 7w8,Explorador
Natsuyuki Rendezvous,Atsushi Shimao,12,INFJ, XwX,Diplomatico
